Respuesta recibida X=1abc9b47 Y=8b1121e7 Z=80000000 ovrf_dut0
Respuesta esperada X=1abc9b47 Y=8b1121e7 Z=ff800000 ovrf_esperado=1
-----------------------------------------------------------------------------------------------------------
Respuesta recibida X=03a9caba Y=05d95760 Z=00000000 ovrf_dut0
Respuesta esperada X=03a9caba Y=05d95760 Z=7f800000 ovrf_esperado=1
-----------------------------------------------------------------------------------------------------------
Respuesta recibida X=03a9caba Y=05d95760 Z=00000000 ovrf_dut0
Respuesta esperada X=03a9caba Y=05d95760 Z=7f800000 ovrf_esperado=1
-----------------------------------------------------------------------------------------------------------
Respuesta recibida X=808c42ac Y=26b47954 Z=80000000 ovrf_dut0
Respuesta esperada X=808c42ac Y=26b47954 Z=ff800000 ovrf_esperado=1
-----------------------------------------------------------------------------------------------------------
Respuesta recibida X=808c42ac Y=26b47954 Z=80000000 ovrf_dut0
Respuesta esperada X=808c42ac Y=26b47954 Z=ff800000 ovrf_esperado=1
-----------------------------------------------------------------------------------------------------------
Respuesta recibida X=23c18db6 Y=0f781f63 Z=00000000 ovrf_dut0
Respuesta esperada X=23c18db6 Y=0f781f63 Z=7f800000 ovrf_esperado=1
-----------------------------------------------------------------------------------------------------------
Respuesta recibida X=23c18db6 Y=0f781f63 Z=00000000 ovrf_dut0
Respuesta esperada X=23c18db6 Y=0f781f63 Z=7f800000 ovrf_esperado=1
-----------------------------------------------------------------------------------------------------------
Respuesta recibida X=80fee6e4 Y=ac383546 Z=00000000 ovrf_dut0
Respuesta esperada X=80fee6e4 Y=ac383546 Z=7f800000 ovrf_esperado=1
-----------------------------------------------------------------------------------------------------------
Respuesta recibida X=80fee6e4 Y=ac383546 Z=00000000 ovrf_dut0
Respuesta esperada X=80fee6e4 Y=ac383546 Z=7f800000 ovrf_esperado=1
-----------------------------------------------------------------------------------------------------------
Respuesta recibida X=88cd22fc Y=901c9e25 Z=00000000 ovrf_dut0
Respuesta esperada X=88cd22fc Y=901c9e25 Z=7f800000 ovrf_esperado=1
-----------------------------------------------------------------------------------------------------------
Respuesta recibida X=88cd22fc Y=901c9e25 Z=00000000 ovrf_dut0
Respuesta esperada X=88cd22fc Y=901c9e25 Z=7f800000 ovrf_esperado=1
-----------------------------------------------------------------------------------------------------------
Respuesta recibida X=9ce6c9d6 Y=17f8f6ab Z=80000000 ovrf_dut0
Respuesta esperada X=9ce6c9d6 Y=17f8f6ab Z=ff800000 ovrf_esperado=1
-----------------------------------------------------------------------------------------------------------
Respuesta recibida X=9ce6c9d6 Y=17f8f6ab Z=80000000 ovrf_dut0
Respuesta esperada X=9ce6c9d6 Y=17f8f6ab Z=ff800000 ovrf_esperado=1
-----------------------------------------------------------------------------------------------------------
Respuesta recibida X=34c0530c Y=82b7f639 Z=80000000 ovrf_dut0
Respuesta esperada X=34c0530c Y=82b7f639 Z=ff800000 ovrf_esperado=1
-----------------------------------------------------------------------------------------------------------
Respuesta recibida X=34c0530c Y=82b7f639 Z=80000000 ovrf_dut0
Respuesta esperada X=34c0530c Y=82b7f639 Z=ff800000 ovrf_esperado=1
-----------------------------------------------------------------------------------------------------------
Respuesta recibida X=10798cbb Y=13043402 Z=00000000 ovrf_dut0
Respuesta esperada X=10798cbb Y=13043402 Z=7f800000 ovrf_esperado=1
-----------------------------------------------------------------------------------------------------------
Respuesta recibida X=10798cbb Y=13043402 Z=00000000 ovrf_dut0
Respuesta esperada X=10798cbb Y=13043402 Z=7f800000 ovrf_esperado=1
-----------------------------------------------------------------------------------------------------------
Respuesta recibida X=02985566 Y=9c3531f2 Z=80000000 ovrf_dut0
Respuesta esperada X=02985566 Y=9c3531f2 Z=ff800000 ovrf_esperado=1
-----------------------------------------------------------------------------------------------------------
Respuesta recibida X=02985566 Y=9c3531f2 Z=80000000 ovrf_dut0
Respuesta esperada X=02985566 Y=9c3531f2 Z=ff800000 ovrf_esperado=1
-----------------------------------------------------------------------------------------------------------
